	Lemma	Fonetisch	Woordsoort	Vormen	ERK	Synoniem of definitie	Voorbeeldzin	Count
de	c				A1	3de letter van het alfabet		1
de	c				B2	♪ do, noot tussen b en d		1
	ca.					circa		2
het	cabaret					komedisch theater en muziek		3
de	cabaretier							4
de	cabine							5
de	cacao							6
de	cactus					🌵 (plant)		7
het	cadeau				A2	iets dat je gratis krijgt	Linda krijgt veel cadeaus voor de baby.	8
de	cadeaubon							9
de	cadet							10
het	café				A2			11
de	cafeïne							12
de	cafetaria							13
de	caffè latte							14
de	caissière					vrouw die aan kassa werkt		15
de	cake							16
de	calamiteit							17
	calculeren							18
de	calorie							19
het	calvinisme					soort protestantse religie		20
de	camera							21
de	camion					vrachtwagen		22
de	camouflage							23
	camoufleren							24
	camp							25
de	campagne							26
de	camper							27
de	camping							28
de	cannabis							29
de	cao					collectieve arbeidsovereenkomst		30
	capabel							31
de	capaciteit							32
de	cape							33
	capituleren							34
de	cappuccino							35
de	capriool							36
de	capsule							37
de	captain							38
de	capuchon							39
de	caravan				A2			40
de	cardioloog							41
de	cariës					gaatjes in je tanden		42
het	carillon							43
het	carnaval							44
	carpoolen							45
de	carport							46
de	carrière							47
de	carte blanche							48
de	cartoon							49
het	casco							50
de	cascoverzekering							51
	cash				B1	fysiek geld; contant		52
het	casino							53
de	Cassatie							54
de	cassette				A2			55
de	cassis							56
de	cast							57
	castreren							58
de	casus							59
de	catalogus							60
de	catastrofe							61
de	categorie							62
de	catering							63
de	cavia							64
het	CBS							65
	cc							66
de	cd				A2	rond plaatje met bv. muziek		67
het	CDA							68
de	cd-speler							69
de	CD&V							70
de	cedille					accent onder ç		71
de	ceintuur					riem		72
de	cel							73
het	celibaat							74
de	cello							75
het	cellofaan							76
	Celsius							77
de	celstraf							78
het	cement							79
de	censuur							80
de	cent				A2			81
de	centigram					1/100 van een gram		82
de	centiliter					1/100 van een liter		83
de	centimeter				A2	1/100 van een meter		84
	centraal				A1			85
de	centrale							86
	centreren							87
de	centrifuge							88
het	centrum				A2			89
de	ceremonie							90
het	certificaat							91
het	CGG							92
	chagrijnig							93
het	chalet							94
de	champagne							95
de	champignon							96
	chanteren							97
de	chaos							98
	chaotisch							99
de	charcuterie					(BE)		100
	charmant							101
de	charme							102
	charmeren							103
de	charmeur							104
het	charter							105
de	chat							106
	chatten							107
de	chauffeur				A1			108
de	chauffeuse							109
	checken				B1			110
de	chef				A2			111
de	cheffin							112
de	chemicaliën							113
de	chemicus							114
de	chemica							115
de	chemie							116
de	chemokar							117
de	chemotherapie							118
de	cheque							119
	chic							120
	chillen							121
de	chip							122
de	chirurg							123
het	chloor							124
de	chocolade							125
de	chocolademelk							126
de	chocoladepasta							127
de	cholesterol							128
de	choreograaf							129
	christelijk				A2			130
de	christen				A2			131
het	christendom							132
	Christus							133
	chronisch							134
	chronologisch							135
de	chrysant							136
de	cider							137
het	cijfer				A1	nummer van 0 tot 9		138
de	cilinder							139
de	cinema							140
de	cipier							141
	circa				A2			142
het	circuit							143
	circuleren							144
het	circus							145
de	cirkel							146
	cirkelen							147
het	citaat							148
	citeren							149
het	cito					centraal instituut voor toets…		150
de	citroen				A2	🍋		151
	civiel							152
het	CJP					cultureel jongerenpaspoort		153
de	ckv					culturele en kunstzinnige vorming		154
	cl					centiliter		155
de	claim							156
	claimen							157
	clandestien							158
de	clark							159
de	classeur					(BE) ringmap		160
de	clausule							161
de	claxon							162
het	CLB					centrum voor leerlingenbegeleiding		163
	clean					strak en zakelijk		164
het	cliché							165
de	cliënt							166
de	climax							167
	in de clinch					ruzie hebben		168
de	clip							169
de	clitoris							170
de	clou							171
de	clown							172
de	club				A2			173
	cm					centimeter		174
het	CNV							175
	co-							176
	en co							177
het	COA							178
de	coach							179
	coachen							180
de	coalitie							181
het	coalitiecabinet							182
het	COC							183
de	cocaïne							184
de	cockpit							185
de	cocktail							186
de	code							187
de	coffeepad							188
de	coffeeshop							189
de	cognac							190
de	coke					cocaïne		191
de	cola							192
de/het	colbert							193
de	collage							194
de	collecte							195
de	collectebus							196
	collecteren							197
de	collectie							198
	collectief							199
het	collectief							200
de	collega				A1			201
het	college				A2			202
de	colonne							203
de	column							204
de/het	coma							205
de	combinatie							206
	combineren							207
de	comeback							208
het	comfort							209
	comfortabel							210
de	coming-out							211
het	comité							212
de	commandant							213
	commanderen							214
het	commando							215
de/het	commentaar							216
de	commentator							217
de	commercial							218
de	commercie					handel		219
	commercieel							220
de	commissaris							221
de	commissie				A2			222
de	commode							223
de	commotie							224
	communautair					(BE)		225
de	communicatie							226
	communiceren							227
de	communie							228
het	communisme							229
	compact							230
de	comagnon							231
de	compensatie							232
	compenseren							233
de	competitie							234
	competitief							235
	compleet							236
	complex							237
het	complex							238
de	complicatie							239
het	compliment							240
het	complot							241
de	component							242
	componeren							243
de	componist					persoon die (klassiek) muziekstuk schrijft		244
de	compositie							245
de/het	compost							246
het	compromis							247
de	computer				A1	pc	Ik werk altijd met een computer.	248
het	computerprogramma							249
de	concentratie							250
het	concentratiekamp							251
	concentreren							252
zich	concentreren							253
het	concept							254
het	concern							255
het	concert							256
de	concessie							257
de	conciërge							258
	concluderen							259
de	conclusie				A2			260
het	concours							261
	concreet							262
de	concurrent							263
de	concurrentie							264
	concurreren							265
de	condens							266
de	conditie							267
	condoleren							268
de/het	condoom							269
de	conducteur				A1			270
de	conference							271
de	conferentie							272
de	confituur					(BE) jam		273
het	conflict							274
	conform							275
zich	conformeren							276
de	confrontatie							277
	confronteren							278
het	congres				A2			279
de	conifeer							280
de	conjunctuur							281
de	consensus					iets waarover iedereen het (ongeveer) eens is		282
	consequent							283
de	consequentie							284
	conservatief							285
het	conservatorium							286
	constant							287
	constateren				B1	vaststellen		288
de	consternatie							289
de	constitutie					grondwet		290
de	constitutie					gesteldheid		290
de	constructie							291
	constructief							292
de	consul							293
het	consulaat							294
het	consult							295
de	consultatie							296
het	consultatiebureau							297
	consulteren							298
de	consument							299
	consumeren							300
de	consumptie							301
het	contact				A1			302
de	contactgegevens							303
de	contactlens							304
de	container							305
het	containerpark					(BE)		306
	contant							307
de	contante							308
	content					tevreden		309
de	context							310
het	continent					werelddeel		311
het	conto							312
de	contouren							313
	contra							314
het	contra							315
het	contract				A2			316
	contracteren							317
	contraproductief					werkt tegen		318
het	contrast							319
de	contributie							320
de	controle							321
	controleren				A2			322
de	controverse							323
	controversieel							324
het	convenant							325
de	conventie							326
	conventioneel							327
de	conversatie					gesprek		328
	converseren							329
	cool							330
de	coöperatie							331
de	coördinatie							332
de	coördinator							333
	coördineren							334
de	co-ouder							335
de	corner							336
de	corporatie							337
	correct							338
de	correctie							339
	correctioneel							340
de	correspondent							341
de	correspondentie							342
	corresponderen							343
	corrigeren							344
	corrupt							345
de	corruptie							346
de	corsage							347
de	coryfee							348
de	cosmetica							349
	cosmetisch							350
de	couchette							351
de	countertenor							352
de	coup							353
de	coupe							354
de	coupé							355
het	couplet							356
de	coupon							357
	courant							358
de	courant							359
de	coureur							360
de	courgette							361
de	couscous							362
de	couveuse							363
de	cover							364
de	cracker							365
de	crash							366
de	creatie							367
	creatief							368
de	crèche							369
de	creditcard							370
	creëren							371
de	crematie							372
het	crematorium							373
	crème							374
de	crème							375
	cremeren							376
de	criminaliteit							377
	crimineel							378
de	crimineel							379
de	crisis				A2			380
het	criterium							381
de	criticus							382
de	croissant							383
de	croquemonsieur							384
	cruciaal							385
de	crypte							386
	cryptisch							387
het	CS					centraal station		388
	culinair							389
	cultureel							390
de	cultuur				A2			391
	cum laude							392
de	cup					bh-maat		393
de	cup					beker		393
de	curatele							394
de	curator							395
	curieus							396
het	curriculum vitae							397
	cursief							398
de	cursist							399
de	cursiste							400
de	cursor							401
de	cursus				A2			402
de	cv							403
het	cv							404
de	cv-ketel							405
de	cycloon							406
de	cycloop							407
de	cyclus							408
	cynisch							409